Chapter,Location,Start Date,End Date,Latitude,Longitude,Zoom,Marker,Marker Color,Description,Notes,Media Link,Media Credit,Media Credit Link,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
10 JULY 1874: Near Cave Hills,Near Cave Hills,7/10/1874,7/10/1874,45.96666667,-103.0283333,11,Plain,green,"March: 4:50am to 4pm<br>
Temp Range: 45 to 83F<br>
Distance Marched: 24 miles<br>
Camp Coordinates: 45.966667N; 103.028333W<br></br>

The tenth of July brought a long day of marching along the north fork of the Grand River. According to the St. Paul Pioneer, the expedition passed over an arid country with low quality soil, whereas William Ludlow, the topographical engineer, noted that “grasshoppers were in immense numbers during these two days.” In his diary, Private Ewert reported seeing sixty lodges of Native people, numbering about fifteen hundred warriors, only twelve miles from the column. “This brought a little life and excitement among the boys,” Ewert recalled, for the “idea of a brush with our red brother was actually welcome news to a great number, and would have been hailed as quite a relief from the dull monotony of the daily marches.”",Cross-referenced.,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
11 JULY 1874: Washun,Cave Hills,7/11/1874,7/12/1874,45.81944444,-103.4461111,11,Plain,green,"March: 4:45am to 1pm<br>
Temp Range: 56 to 90F<br>
Distance Marched: 19.7 miles<br>
Camp Coordinates: 45.819444N; 103.446111W<br></br>

After much anticipation, the expedition finally reached the sacred caves that Goose had described. Although Native people called it “The place where the cow killed the man,” Custer decided to christen it “Ludlow’s cave,” in honor of the expedition’s topographical engineer. According to Private Ewert, the original name commemorates a young warrior who had chased a buffalo cow and two of her calves to the foot of the cliff in which the cave was located. Finding herself trapped, the buffalo cow suddenly turned and gored the young warrior and his horse, tearing “both into shreds.” Others accounts gave a different name, however. The NY World, for example, described it as “The Place Where the Man was Killed by a Bull.” The Chicago Inter-Ocean claimed that Native people simply called it “Wassum,” or “hole in the ground.” This clearly refers to the Lakotan word “Washun,” which literally translates to “hole in the ground” and is often used to describe the den of a fox, beaver, and other burrowing animals.<br></br>

With Goose leading the way, a special detachment of soldiers located the cave sometime in the late afternoon. According to the NY Tribune, expedition soldiers were surprised by what they found – but not in a good way: “No chambers, no grottoes, no crystals, no stalactites, no hieroglyphics, nothing but a hole in the wall.” They were so disappointed, in fact, that some even accused Goose of being a “swindle.” But not everyone agreed, and the NY World reported that, in finding the much-talked about cave, “Goose's character as a guide has again been signally endorsed.” <br></br>

Once inside, soldiers found a large number of petroglyphs, which had been carved into its soft, sandstone walls. Private Ewert, for example, recalled seeing “rude artistic resemblances of trees, plants, animals, insects, implements of war, fowl and fish all promiscuously mixed together, but each separate incision with its own peculiar sign and meaning.” Claiming that all of the “different tribes seem to understand the same style of writing,” he speculated that some of these markings were made by “war parties,” who sought to coordinate their activities with others who visited the cave after them.<br></br>

In a poignant moment, Goose refused to participate in the desecration of a sacred site. While soldiers crowded inside the cave and carved their names as a “memento of their visit” next to ancient petroglyphs, Goose stood near the entrance in silence. According to the NY World, he “thought he had done sacrilege enough in guiding us to the sacred spot without assisting personally at its profanation.”<br></br>

The Chicago Inter-Ocean provides further evidence that Goose felt regret upon leading expedition soldiers to such a sacred site. Upon locating the cave’s entrance, he came to a stand-still and, “in his stoical way,” made “an indifferent indication with his hand.” The soldiers immediately leapt from their saddles and dashed for “the mysterious entrance, on the walls of which was spirit-writing and demonography.” While soldiers likened the petroglyphs to childish engravings “on the walls of a country schoolhouse,” Goose responded with “superstitious veneration.” “He stood at the entrance a few moments and looked at them silently, then turned away and never came near the place again.”",Cross-referenced.,media/11July-LudlowsCave.jpg,"Stereoscopic view of the entrance to “Ludlow’s Cave,” taken by Illingworth.",https://mikemedhurst.com/cgi-bin/display_item.asp?1624,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
12 JULY 1874: South of Cave Hills,South of Cave Hills,7/12/1874,7/13/1874,45.722222,-103.486111,11,Plain,green,"March: 5am to 3pm<br>
Temp Range: 62 to 87F<br>
Distance Marched: 11 miles <br>
Camp Coordinates: 45.722222N; 103.486111W<br></br>

The expedition left the Cave Hills and commenced a difficult march along the Grand River, their path weaving through many hills and ravines. J. B. Power, writing for the St. Paul Press, compared the landscape to the famed “Bad Lands” and noted that it was almost impossible for the wagons to traverse the rugged terrain. For his part, Donaldson complained bitterly about expedition guides whose judgment could not be relied on to find “practicable wagon routes.” Still, they trudged on, moving slowly under the hot sun. The geologists busied themselves with sandrock and lignite, but failed to find any fossils. The day ended early, when expedition soldiers were grateful to find several “good springs” with “the best water since leaving ‘Lincoln.’”",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
13 JULY 1874: Sage Brush Camp,Sage Brush Camp,7/13/1874,7/13/1874,45.59722222,-103.6347222,11,Plain,green,"March: 5:00 AM to 1:00 PM<br>
Temp Range: 62 to 90F<br>
Distance Marched: 15.5 miles<br>
Camp Coordinates: 45.597222N; 103.634722W<br></br>

Having reached better terrain, the expedition easily traversed fifteen miles before making camp in the early afternoon. Traveling across dry and alkaline country dotted with cacti, Donaldson lamented the lack of fresh water. Apparently, they only found a few “stagnant pools,” which greatly exacerbated the “dreariness” of the landscape. Meanwhile, Winchell noticed traces of “burnt-out” lignite as they passed through a series of buttes. According to the NY Tribune, expedition soldiers who begrudgingly camped among the cacti and sagebrush did their best to make light of a bad situation, joking that “Indiscretions in the use of slippers around camp were dearly paid for.”<br></br>

In addition, these days were once again filled with renewed anxiety about encountering the region’s Native inhabitants. Captain McDougall, for example, claimed to see a “small body of Indians” whom he suspected of monitoring their movements, but they left soon after being spotted. General Custer concurred, describing the encounter as the first real indication of the “presence of Indians.” As a result, everyone was on high alert, and expedition soldiers took “great care to prevent surprise or stampede of stock,” although in the end nothing happened.",Cross-referenced.,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
14 JULY 1874: Prospect Valley,Prospect Valley,7/14/1874,7/14/1874,45.48222222,-103.7902778,11,Plain,green,"March: 4:45am - 2pm<br>
Temp Range: 50 to 78F<br>
Distance Marched:13 miles<br>
Camp Coordinates: 45.482222N; 103.790278W<br></br>

After a grueling march lasting about two weeks and covering nearly two hundred and thirty miles in total, the expedition reached a picturesque valley with good grass and plenty of wood that was situated along a branch of the Little Missouri River. The New York Tribune described what a “great relief” it was to arrive at this place, and everyone “rejoiced” when Custer “wisely” decided to rest there for a day, including “the mules and the horses.” Private Ewert explained that a rest day was especially welcome because “the rank and file” had been ordered to bring just a single change of under-clothes, meaning that each had been worn without washing for a whole week. Another factor that may have contributed to Custer's decision was that mineral prospectors believed the small river was likely to yield gold. As soldiers washed their underwear, the miners dug down as far as the bedrock. Although they failed to strike pay dirt, Custer still named the site “Prospect Valley.”<br></br>

Expedition geologists had more luck compared to the mineral prospectors. About ten miles from the camp, George Bird Grinell found a Badlands formation called Castle Butte (on account of its resemblance to a medieval castle) that contained several vertebrate fossils. In addition to turtle bones, he also unearthed a large femur that was badly crushed and flattened during the process of fossilization. An article in the NY Tribune speculated that an “aged mammoth, a great deal older than Methusaleh, among his peers quite as respectable, had laid himself down to a final sleep, and, fortunately for us, had left one leg sticking out of the bed.” Although Grinell worked with great care to exhume the large fossil, which measured about four feet in length and almost one foot in diameter, the “many centuries of enforced seclusion” had left it “too weak to endure its sudden exposure, and a large part of it crumbled to pieces.” Although he initially assumed that it belonged to a Mastodon, after comparing the specimen to others collected in the same beds, Grinell eventually concluded that “it was the femur of a dinosaur.”<br></br>

Smoke signals caused a great deal of excitement in camp as well. A journalist for the NY World saw them emanating from behind the camp: “three smokes, one considerably to the left of the other two, signaling the line of our march and the fact that there are no more of us coming.” In his official dispatch, Custer agreed, interpreting the smoke signals “as carrying information to the main body of our presence and movements.” While some of Native scouts were certain that Sitting Bull planned to “make a stand at the Hills,” Custer reminded everyone that because “I sent pacific messages to all the tribes infesting this region,” it was more likely the smoke signals “may have simply been made to enable the villages to avoid us.” In his diary, Private Ewert marveled that “In the art of smoke signals the redman is a perfect master, and his code of signals is nearly as complete as our own at the signal office at Washington. Every member of the camp is expecting a battle within the next few days as war and warpath are about the only two words talked about.”<br></br>

Interestingly, a journalist for the NY World commented that while expedition soldiers busied themselves with debates about how to interpret the meaning of smoke signals, Lakotan and Arikaran scouts were preoccupied with a comet they had seen for the past several nights. Convinced that it represented a portentous omen, particularly since “the prophets of the Sioux have been unrelentingly preaching a crusade of extermination against the whites,” they warned that “the spirits of the dead are upon the war-path.”",Cross-referenced.,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
15 JULY 1874: Prospect Valley Camp,Prospect Valley Camp,7/15/1874,7/15/1874,45.48222222,-103.7902778,11,Hidden,green,"Camp Coordinates: 45.482222N; 103.790278W<br></br>

Staying over in Prospect Valley, expedition members enjoyed a day of rest and recuperation. As Fred W. Power wrote in his diary, nothing much happened “except the pleasure of remaining over all day, which was of itself a treat.” Most of the soldiers used the time off to catch up on chores, and Private Ewert described nearly six hundred men scattered along the creek, “scrubbing and splashing their linen in a genuine washwoman style.” They also wrote home, though Ewert complained that “the allowance for each company was so limited that only a few could send their letters east.” Bloody Knife personally chose two Arikara scouts–Skunk’s Head and Bull’s Neck–to deliver the mail. According to the St. Paul Pioneer, each was equipped with “the best revolvers and carbines,” as well as plenty of ammunition, coffee, and rations for the four-day journey. Instructed to travel only by night, they went off at 8 o’clock that evening to begin their 228-mile trek back to Fort Lincoln.",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
16 JULY 1874: Border Camp,Border Camp,7/16/1874,7/16/1874,45.295484,-103.932944,11,Plain,green,"March: 4:45am to 8:30pm<br>
Temp Range: 56 to 82F<br>
Distance Marched: 30 miles<br>
Camp Coordinates: 45.295484N; 103.932944W<br></br>

The expedition broke camp early and marched for nearly sixteen hours straight. During the late morning, several scouts reported seeing small groups of Native people off in the distance. Lieutenant Wallace climbed a nearby hill to get a better view of the threat and saw a handful of people about three miles away. According to the New York Tribune, they appeared to be traveling alongside the expedition, which prompted Custer to issue an order for soldiers to “take additional precautions against a surprise.” As usual, however, nothing transpired, and the expedition continued on uninterrupted.<br></br>

While the main column moved west towards the Little Missouri, an exploring party broke off to explore a nearby ridge. In addition to the chief engineer, William Ludlow, it included Winchell and George Bird Grinnell, as well as two guides (Goose and Louis Agard) and some newspaper correspondents. Winchell dutifully reported the geological formations they passed, while Goose and Agard identified the group of Natives who appeared to be shadowing the expedition as Lakotan. Making their way to some pine-covered hills, they ascended a broad tableland where the party caught its first clear sight of the Black Hills.<br></br>

While they were out exploring, Professor Winchell collected some petrified wood, several fossilized turtles, a large ball-and-socket joint, and two large vertebrae with the base of a skull that Grinnell identified as some kind of herbivorous dinosaurs “nearly as large as Hadrosaurus Foulkii.” Grinnell also found a few small Cretaceous fossils, but the small group of scientists soon turned southward to intercept the main column, prompting him to complain that “little was accomplished” by the excursion.<br></br>

Around three in the afternoon, the exploring party rejoined the main column, which stopped briefly to refuel their horses before reaching the Little Missouri around five o’clock. After resting for a few minutes to fill their water caskets and restock their supply of timber, they turned sharply towards the northwest corner of the Black Hills, where expedition guides expected to find the easiest entrance into the fabled mountain range.",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
17 JULY 1874: Bad Lands,Bad Lands,7/17/1874,7/17/1874,44.96944444,-104.0441667,11,Plain,green,"March: 4:45 to 2:15pm<br>
Temp Range: 60 to 84F<br>
Distance Marched: 17.7 miles<br>
Camp Coordinates: 44.969444N; 104.044167W<br></br>

As the expedition column marched south towards the Belle Fourche River, the Black Hills finally came within view. “What a glorious moment,” Private Ewert exclaimed, “black as ink, range upon range, stretching away into the distance and mysterious as ever.” Catching sight of this “supposed New Eldorado” inevitably caused a turn in the conversation towards “filthy lucre.” What if all the rumors about gold turned out to be true? How would they carry their bounty back home? As expedition soldiers talked of emptying their saddle pockets to make room for gold nuggets, they vowed to stake a mineral claim “according to law” and grow rich from the proceeds. Although none of their dreams would come to fruition, “yet at the time they gave us much pleasure,” Ewert recalled.<br></br> 

While soldiers dreamed of striking it rich, journalists made light of the region’s desolate landscape. Aris P. Donaldson, in particular, did not mince words about what a “God forsaken” country it was, insisting that it was “only fit for rattlesnakes and Indians.” Given its arid and infertile soil, which only seemed to support a “scraggly brush plant called by the Indians “‘Grease weed,’” Donaldson encouraged the United States Government “to give the Indians, their assigns, heirs, &c, the country forever.” As if that was not bad enough, the area was “made hateful to our memory by a terrible dust storm, which be-soiled everything in our tents and made life to the occupants utterly miserable,” the New York Tribune reported.<br></br>

The Badlands north of the Belle Fourche may have been lacking in fertile soil and lush vegetation, but it offered plenty of fossils. In his official report, the expedition Geologist described entering a dense “net-work of ravines and alternating clay hills.” Barren and heavily eroded, most of these “little eminences” were about 25 to 50 feet high, with numerous “limy concretions” that turned out to be “filled with fossils.” George Bird Grinell recalled finding a large quantity of these “limestone concretions,” most of which had been “cracked and broken by exposure to the weather.” However, “when a concretion could be found which had not broken up, the specimens from it were well preserved,” and included numerous species of invertebrates from the “so-called Fort Pierre group.”",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
18 JULY 1874: Belle Fourche,Belle Fourche,7/18/1874,7/19/1874,44.801389,-104.149167,11,Plain,green,"March: 5am to 4:30pm<br>
Temp Range: 63 to 93F<br>
Distance Marched: 17.5 miles<br>
Camp Coordinates: 44.801389N; 104.149167W<br></br>

A long march lasting nearly twelve hours brought the expedition to a branch of the Belle Fourche river. Captain Ludlow, chief engineer, described passing over “broken country” before reaching a river about 30 to 50 feet wide and four feet deep with a strong current, which cut through a “well-timbered” valley whose soil was strongly impregnated with iron.<br></br>

Everyone was elated to escape from the heat of the open prairie. “We had learned to appreciate at every halt on the march the shady side of a horse,” the NY Tribune reported, but “the prospect of having a real, live tree–a tree that would not tread on you just as you had dropped to sleep; a tree that did not need to be picketed, and would not move around to feed; a genuine, legitimate tree… –the prospect was more than silence could bear, and we said, ‘Hallelujah!’”<br></br>

Not everyone was equally impressed, however. A journalist named Fred W. Power wrote that although the expedition geologist “seems to think that the soil generally is good, very good,” he remained skeptical: “the want of rain will in my opinion prevent the country from ever being of any very great benefit to man, or civilized man.” “The noble Red Man of the West may wander over & gain [a] subsistence by hunting,” Power continued, “but certainly never by cultivation.”<br></br>

Finally, as the expedition drew close to the Black Hills, Lakotan people continued to make their presence felt. Power, for example, claimed to pass by an “Indian grave made not over 3 days ago,” while Private Ewert saw plumes of smoke rising up “in large dark masses” off in the distance, “no doubt informing incoming tribes that we had invaded the sanctum and now needed punishing.” Ludlow, the chief engineer, also claimed that the expedition’s Native guides refused to offer guidance about the best route into the Black Hills. “They have hitherto supposed we would skirt the hills without seriously attempting an entrance,” he concluded.",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
19 JULY 1874: Belle Fourche Rest Day,Belle Fourche,7/19/1874,7/20/1874,44.801389,-104.149167,11,Plain,green,"Camp Coordinates: 44.801389N; 104.149167W<br></br>

Heavy rain fell from dawn until about 4 p.m., forcing the expedition to remain in camp near the Belle Fourche. Hoping to salvage the day, Ludlow and his engineering corps set off on a reconnaissance with Colonel Hart’s company in tow. Their “ambition,” according to the New York Tribune, “always [sought] the highest peaks.” But the most they discovered was an “old time-worn trail,” which had been made by Capt. Raynolds during a previous expedition to the Yellowstone river in 1859. This was not enough to satisfy Donaldson, who complained that the reconnaissance party “returned to camp late in the night, with no other result than that of being wet, weary and hungry.”",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
20 JULY 1874: South of Hay Creek,South of Hay Creek,7/20/1874,07/21/1874,44.645376,-104.253212,11,Plain,green,"March: 4:45am to 5pm<br>
Temp Range: 65½ to 78F<br>
Distance Marched: 18.3<br>
Camp Coordinates: 44.645376N; 104.253212W<br></br>

Although it threatened to rain for a second day in a row, the expedition continued its march towards the Black Hills. Crossing the Belle Fourche river, they left Capt. Reynold’s train behind and began a meandering ascent out of the valley. Searching for a route into the mountains, their progress was impeded by the wet, soggy ground, which slowed down the wagons considerably. Around two o’clock, the expedition descended into a gorgeous valley with lush vegetation, high grasses, and a ""delightful"" temperature. Thoroughly pleased, Ludlow was happy to leave the “hot, dry, burned-up landscape north of the Belle Fourche” behind him. Likewise, Donaldson praised the region’s rich soil, while Private Ewert reported that expedition soldiers found it “the finest scene they had ever looked upon.” Illingworth, the expedition photographer, took a stereoscopic photograph of the mountain range that would “give the people in the east an opportunity of also enjoying a look at the noted Black Hills.”",,media/20July-SouthHayCreek.jpg,"Looking east from Hay Creek, photographed by William H. Illingworth.",,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
21 JULY 1874: Red Water Valley,Red Water Valley,7/21/1874,7/22/1874,44.505,-104.2644444,11,Plain,green,"March: 4:45am to 4:30pm<br>
Temp Range: 50 to 88F<br>
Distance Marched: 14.3 miles<br>
Camp Coordinates: 44.505N; 104.264444W<br></br>

As the expedition marched through the Red Water Valley, everyone seemed to be charmed by its red soil and streams, which were complemented by white bands of gypsum and bright green grass. Donaldson was particularly awed, describing an “immense meadow” with “enough gypsum… to fertilize every acre of land in the United States.” Expedition scientists took care to document the land’s natural richness as well, detailing veins of iron ore, gypsum, magnesia, carbonized lime, as well as red sandstone beds that contained a large number of invertebrate fossils from the Jurassic period.<br></br>

Traversing the valley’s ravines and cuts proved challenging, however. Private Ewert recalled that “hills arose like walls,” forcing them to come to an abrupt halt. Several scouts were sent to find a better trail, but they did not succeed. This prompted Custer to mount “his little pony, Dandy,” and set off to find a workable route by himself. Eventually, they found their way to a small creek and set up camp for the night. Fed by mountain spring water, the creek was “delightful from its clearness and coldness,” and Ludlow speculated that the region’s “gypsum-veins” must have endowed its water “with highly medicinal properties.” As they came to a rest, Custer gathered the men to show off several “specimens and curiosities” he had collected, including petrified wood, prairie owls, a hawk, a porcupine, horned toads and three live rattlesnakes. The day ended with the first death of the expedition. Private John Cuningham of Company H passed on the night of the 21st, succumbing to dysentery.",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
22 JULY 1874: Inyan Kara Camp,Inyan Kara Camp,7/22/1874,7/23/1874,44.21666667,-104.2658333,11,Plain,green,"March: 4:45am to 4:30pm<br>
Temp Range: 73 to 91F<br>
Distance Marched: 22.2 miles<br>
Camp Coordinates: 44.216667N; 104.265833W<br></br>

According to Ludlow’s official map, the 22nd of July brought the expedition within just a few miles of the Sundance Hills in what is now Northeastern Wyoming. Curiously, however, neither Ludlow nor anyone else mentioned passing this important landmark, where Lakotan and Cheyenne people have long practiced their sacred ceremonies, in their official accounts.<br></br>

That morning also saw the second death of the expedition. Apparently, long-simmering animosity between two expedition soldiers–Joseph Turner and William Roller–boiled over and led to an “impromptu duel” before leaving the camp that morning. In the Chicago Inter-Ocean, Curtis wrote that “both had murder in their minds and arms in their hands—only Turner was a little the slower.” When the latter finally died in an ambulance later that day, Roller was placed under arrest to await trial once the expedition had run its course.<br></br>

Continuing their march up the Red Water Valley, expedition members marveled at the surrounding landscape. Ludlow described a “mass” of gypsum, “crystallized and shining beautifully,” which was marked by deep cuts where “the Indians, for generations, have, in passing, split off pieces for ornaments.”The expedition came across other “Indian signs” also, including a well-marked trail leading southeast towards the Red Cloud and Spotted Tail agencies. <br></br>

That night, after the expedition reached its camp four miles east of Inyan Kara, a funeral was held for John Cunningham and Joseph Turner on a nearby knoll. The whole company attended, and the band played a funeral dirge as the two bodies were laid to rest.",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
23 JULY 1874: Inyan Kara Camp,Inyan Kara Camp,7/23/1874,7/24/1874,44.21666667,-104.2658333,11,Plain,green,"Camp Coordinates: 44.216667N; 104.265833W<br></br>

While most of the expedition spent July 23rd in camp, Custer formed a small party to ascend Inyan Kara. Along with Bear’s Ears, Agard, Colonel Ludlow, and other members of the scientific corps, Custer left camp around 7 o’clock in the morning. Inyan Kara was said to be the highest peak in the western range of the Black Hills; a “prominent landmark” with a height of 6,600 feet. It was a rough trip – even with Bear’s Ears and Agard to guide them, the group struggled to maneuver their wagons and horses through steep hills and ridges. But difficult (“and even dangerous,” Donaldson noted) as it was, the group eventually made it to the summit, where the group carved “74. CUSTER” into the stone, thus marking their presence on this sacred site.<br></br>

Inyan Kara was beautiful, wooded in pine and aspen with abundant berries. It featured a horseshoe-shaped rim, with an elevated peak in the center and a small spring flowing outwards. From atop Inyan Kara, Custer and Ludlow hoped to scope out a path to the interior of the Black Hills, which remained elusive even to their Native guides. But their plans were frustrated by Lakotan warriors, who set fire to the surrounding prairies. In his official report, Ludlow described that despite waiting for two hours, “the smoke [only grew] denser.” Accepting the poor visibility was unlikely to improve, the small group of explorers turned around and headed back to camp. Custer was clearly disappointed by their lack of success, noting only that “The day was not favorable for obtaining distant views.”<br></br>

Back in the camp, expedition soldiers were on high alert after a few men claimed to have seen their enemy in the near distance. Upon investigation, however, these reports were discredited. Private Ewert reasoned that soldiers were “anxious to create a sensation in the camp.” Similarly, while Fred W. Power claimed to have seen traces of “several hundred Indians,” they seemed to be heading south-west towards Laramie.",,media/23July-InyanKara.jpg,"The photographer’s shadow in the foreground with Inyan Kara (stone creator) in the background, by William H. Illingworth.",,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
24 JULY 1874: Floral Valley,Floral Valley,7/24/1874,7/25/1874,44.213333,-104.160278,11,Plain,green,"March: 4:45am to 5pm<br>
Temp Range: 62 to 88F<br>
Distance Marched: 11 miles<br>
Camp Coordinates: 44.213333N; 104.160278W<br></br>

After leaving Inyan Kara, the expedition column traveled east and ascended a slope of white Carboniferous limestone, where they reached a beautiful valley full of lush vegetation. Abundant with wildflowers in full bloom, Custer decided to name their camp “Floral Valley.” He did so in spite of the fact that Winchell, the expedition geologist, recorded a pre-existing Lakotan place-name, Minnelusa (Running Water) Valley, on account of the rapid stream that flowed through it.<br></br>

Fred Power, writing in the St. Paul Press, corroborated the Valley’s signal importance among Lakotan people. In addition to finding lodge poles, a fresh trail, and other evidence of their frequent presence in the region, he also recorded a Native legend about the water that flowed through its center: “Its source is in a beautiful cave, supplied with all of the luxuries of life, both artificial and natural, fruits of all kinds from every clime, wine the finest, foreign and domestic, on every hand fountains of champagne, walls of purest gold and floors of pearl.” In his diary, Power added that while this “cave has not yet been seen, the Genl. intends starting for it in a few days.” On its other end, the stream “is swallowed by a snake of immense size” which “remains under ground in another cave.”<br></br>

Expedition soldiers were overcome with joy at the sight of the valley’s abundant wildflowers. According to the Bismarck Tribune, they included “geraniums, asters, the gorgeous lily, the modest daisy, the retiring violet,” and “the coarse gaudy sunflower.” Hence, the Tribune remarked, it was “no wonder” the “untutored savage” guards this “ paradise” with “jealous care.” An army scout named Luther North heartily agreed, stating that he had never “seen such a profuse display of flowers,” which prompted him to reflect on how strange it was “to glance back on the advancing column of cavalry and behold the men with beautiful bouquets in their hands, while the headgear of the horses were decorated with wreaths of flowers fit to crown a queen of May.”<br></br>

For his part, Private Ewert was equally awed by Valley’s lush and verdant plant-life, which also included strawberries, blueberries, and gooseberries, all of which “abounded plentifully and were really a welcome addition to, or a change from, the coarse army fare.” Still, he hastened to add that “Farmers have no business in the Black Hills,” for its “valleys, even of productive soil, are so narrow that it would require a length of ten miles in order to gain sufficient acres to make a farm.”",,media/24July-FloralValley.jpg,"Floral Valley, photographed by William H. Illingworth.",,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
25 JULY 1874: Minnelusa Valley,Minnelusa Valley,7/25/1874,7/26/1874,44.14305556,-104.0594444,11,Plain,green,"March: 4:45am to 3:15pm<br>
Temp: 86F<br>
Distance Marched: 11.5 miles<br>
Camp Coordinates: 44.143056N; 104.059444W<br></br>

Marching southwest through Minnelusa Valley and into the Black Hills, expedition soldiers and scientists remained captivated by the natural beauty of their surroundings. “An Eden in the clouds,” Samuel Barrows exclaimed in the NY Tribune, confessing that words could not capture his “pleasure in this lovely scene.” Similarly, Private Ewart could hardly contain himself: “A natural garden! One immense, vast flower bed! A paradise!” he wrote in his diary. Even Ludlow, the matter-of-fact engineer, waxed eloquent about this “beautiful wild country.”<br></br>

Barrows was so enchanted that all the “greed for gold was forgotten.” But Ewert sang a different song: “Up to this day the Black Hills had been voted a failure,” he wrote, but as soon as they entered this wonderful place, “the miners at once pronounced it as their opinion that this stream, being worked properly, would yield gold.” While that did not turn out to be true, expedition scientists nonetheless collected a rich bounty of specimens. The botanist Aris B. Donaldson was especially “enraptured” by wildflowers, many of which remained “undescribed by botanists,” including “a lily of rarest beauty.” Assuring readers of the St. Paul Pioneer that “Many bulbs have been secured and will be carried home,” Donaldson also related that Custer himself had collected eight pairs of “magnificent antlers,” which he intended to donate to the Smithsonian museum. Finally, several live sand-hill cranes were also captured. These were added to the expedition’s growing “menagerie,” which also included “hares, prairie dogs, night-hawks, owls, one eagle, and a cage of rattlesnakes.”<br></br>

Not to be outdone, expedition geologists were hard at work collecting fossils and rock samples as well. Judging by several genera of invertebrate fossils that it contained, George Bird Grinnell was certain the gritty, metamorphic limestone which underlay this valley dated back to the Carboniferous age. This led Winchell to conclude that the expedition had discovered a new geological formation, previously unknown to science, which he chose to “​​designate the Minne-lusa Sandstone, from the Indian name of the valley in which it was discovered.”",,media/25July-WagonTrainCastleCreek.jpg,"The wagon train passing through Castle Creek Valley on July 26th, photographed by William H. Illingworth.",,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
